Reference, Value, Footprint, Datasheet, DigiKey P/N, URL, Man P/N, Description, Price, Cost, TLP291, Digikey P/N,
U18,TS912,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,http://www.st.com/content/ccc/resource/technical/document/datasheet/3b/16/fd/19/b8/21/40/7f/CD00000501.pdf/files/CD00000501.pdf/jcr:content/translations/en.CD00000501.pdf,497-10252-1-ND,http://www.digikey.com/product-detail/en/stmicroelectronics/TS912IYDT/497-10252-1-ND/2193329,TS912IYDT,"	IC OPAMP GP 1.4MHZ RRO 8SO",1.54,,,,
U23,TLP293,Housings_SSOP:SOP-4_4.4x2.8mm_Pitch1.27mm,,TLP293(GB-TPLECT-ND,http://www.digikey.com/product-detail/en/toshiba-semiconductor-and-storage/TLP293(GB-TPL,"TLP293(GB-TPL,E",OPTOISOLATOR 3.75KV TRANS 4-SO,0.52,,,http://www.digikey.com/product-detail/en/toshiba-semiconductor-and-storage/TLP291(GB-TP,SE/TLP291(GB-TPSECT-ND/4562949
R51,250k,Resistors_SMD:R_0805_HandSoldering,,P249KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF2493V/P249KCCT-ND/119664,ERJ-6ENF2493V,RES SMD 249K OHM 1% 1/8W 0805,0.1,,,,
R52,250k,Resistors_SMD:R_0805_HandSoldering,,P249KCCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF2493V/P249KCCT-ND/119664,ERJ-6ENF2493V,RES SMD 249K OHM 1% 1/8W 0805,0.1,,,,
U22,TS372,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,http://www.st.com/content/ccc/resource/technical/document/datasheet/e7/19/ff/e2/d2/08/42/04/CD00000884.pdf/files/CD00000884.pdf/jcr:content/translations/en.CD00000884.pdf,497-2271-1-ND,http://www.digikey.com/product-detail/en/stmicroelectronics/TS372IDT/497-2271-1-ND/599224,TS372IDT,IC COMP LP DUAL CMOS VOLT 8 SOIC,0.62,,,,
SW2,TS5A3159-Q1,TO_SOT_Packages_SMD:SOT-23-6_Handsoldering,http://www.ti.com/lit/ds/symlink/ts5a3159-q1.pdf,296-39512-1-ND,http://www.digikey.com/product-detail/en/texas-instruments/TS5A3159QDBVRQ1/296-39512-1-ND/5143458,TS5A3159QDBVRQ1,IC ANLG SW SPDT SOT23-6,0.98,,,,
U2,MCP6002,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf,MCP6002T-I/SNCT-ND,http://www.digikey.com/product-detail/en/microchip-technology/MCP6002T-I-SN/MCP6002T-I-SNCT-ND/4307905,MCP6002T-I/SN,IC OPAMP GP 1MHZ RRO 8SOIC,0.34,,,,
U19,ACPL-C870,custom_footprints:Iso_Diff_Amp_ACPL,https://docs.broadcom.com/docs/AV02-3563EN,516-2578-5-ND,http://www.digikey.com/product-detail/en/broadcom-limited/ACPL-C870-000E/516-2578-5-ND/3523705,ACPL-C870-000E,,,,,,
U21,MCP6001,TO_SOT_Packages_SMD:SOT-23-5_HandSoldering,http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf,MCP6001T-I/OTCT-ND,http://www.digikey.com/product-detail/en/microchip-technology/MCP6001T-I-OT/MCP6001T-I-OTCT-ND/697158,MCP6001T-I/OT,,,,,,
C34,0.1u,Capacitors_SMD:C_0805_HandSoldering,http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf,399-1168-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C104K3RACTU/399-1168-1-ND/411443,C0805C104K3RACTU,CAP CER 0.1UF 25V X7R 0805,0.1,,,,
